"Section","Group","Field","Type","Value","Time Line","P&P","Default Value","Department","Roles","Notices","Notice Process","QC / Acknoledgment","Escalation and Notes","Task","Task responsible role","Task due date","Task action","Mandatory Field","Parent Field","Fill only for Role","Task Rule"
"Wholesale","Cancellation","Reason for PASS","Option","3","4","","","Acquisition Team","Closing Coordinator Acquisition","","","","","","","","","Reason for PASS","","",""
"Wholesale","Commission Calculator","Amount paid to ON","Number","3","11","","","Acquisition Team ","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Commission Calculator","Asset Manager Percentage (%)","Option","3","11","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Commission Calculator","Due Diligence Fees (Amount) ","Duplicate from Due Diligence > Required Inspection > Due Diligence Fees (Amount) ","","","","","","","","","","","","","","","","","",""
"Wholesale","Commission Calculator"," Explanation of Other Costs and Credits","Duplicate from Wholesale > Other Costs and Credits  > Explanation of Other Costs and Credits","","","","","","","","","","","","","","","","","",""
"Wholesale","Commission Calculator","Final Sale Price","Duplicate from Acquisition Information > Final Acquisition Contract Terms > Contract Purchase Price","","","","","","","","","","","","","","","","","",""
"Wholesale","Commission Calculator","Forecasted Wholesale Fee","Duplicate from Wholesale > General > Forecasted Wholesale Fee","","","","","","","","","","","","","","","","","",""
"Wholesale","Commission Calculator","Gross Wholesale Fee ","Duplicate from Accounting > Estimated & Final Accounting > Gross Wholesale Fee ","","","","","","","","","","","","","","","","","","[{"value":"*","task":{"role":"Closing Coordinator Acquisition","name":"Prepare Assignment Agreement ","message":"Prepare Assignment Agreement ","duedate":"0","actiontype":"Task","dependfield":""}}]"
"Wholesale","Commission Calculator","Intent For Property","Duplicate from Acquisition Information > General > Intent For Property","","","","","","","","","","","","","","","","","",""
"Wholesale","Commission Calculator","Investor Offer Price","Duplicate from Wholesale > Investor / Buyer Information  > Investors Offer Price ","","","","","","","","","","","","","","","","","",""
"Wholesale","Commission Calculator","Jr ON Commission Percentage ","Option","3","11","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Commission Calculator","Lead Source","Duplicate from Acquisition Information > General > Lead Source","","","","","","","","","","","","","","","","","",""
"Wholesale","Commission Calculator","Net to Company","Number","3","11","","","Acquisition Team ","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Commission Calculator","ON Commission Percentage ","Option","3","11","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Commission Calculator","Other Cost or Credits Outside of Escrow/Contract","Duplicate from Acquisition Information > Other Cost or Credits > Other Cost or Credits Outside of Escrow/Contract","","","","","","","","","","","","","","","","","",""
"Wholesale","Commission Calculator","TC Fee","Number","3","11","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Commission Calculator","Wholesale Fee Status","Option","3","11","","","Acquisition Team ","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Commission Calculator","Wholesale Fee Status Date","Date","3","11","","","Acquisition Team ","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Confidence Score","Area Desirability","Option","3","1.1","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Confidence Score","ARV Confidence","Option","1","1.1","","","Acquisition Team","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Confidence Score","Buyer Feedback","Link to webpage","1","1.1","","","Acquisition Team ","Analyst","","","","","","","","","","","",""
"Wholesale","Confidence Score","Days in the MLS from acceptance Date","Option","3","1.1","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
